"datetime,""T_org"",""T_05"",""T_15"",""T_25"",""T_35"",""T_45"",""T_55"",""T_65"",""T_75"",""T_85"",""T_95"",""T_105"",""T_115"",""M_org"",""M_05"",""M_15"",""M_25"",""M_35"",""M_45"",""M_55"",""M_65"",""M_75"",""M_85"",""M_95"",""M_105"",""M_115"""
2022-05-09 15:00:00,NA,13.69,10.57001,10.04001,9.390015,9.179993,9.01001,8.440002,8.570007,8.859985,NA,NA,NA,NA,12.3969786660998,20.6292249112102,21.8465546016722,26.0866039011978,27.0711784597105,18.4715374565574,13.8493820348369,9.27152836551948,12.6846186699361,NA,NA,NA
2022-05-09 15:10:00,NA,13.60999,10.60001,10.04999,9.369995,9.179993,9.079987,8.390015,8.549988,8.859985,NA,NA,NA,NA,12.3969786660998,20.6292249112102,21.8425554835222,26.0866039011978,27.0711784597105,18.4527652433732,13.8569500037719,9.27152836551948,12.6846186699361,NA,NA,NA
2022-05-09 15:20:00,NA,13.54999,10.67999,10.19,9.369995,9.149994,9.01001,8.309998,8.700012,8.859985,NA,NA,NA,NA,12.3900822028514,20.6164661519925,21.818580124321,26.0866039011978,27.0778435901275,18.4668440654937,13.8720880864423,9.24924520330036,12.6846186699361,NA,NA,NA
2022-05-09 15:30:00,NA,13.44,10.78,10.17001,9.369995,9.179993,9.059998,8.410004,8.570007,8.890015,NA,NA,NA,NA,12.4073282375639,20.6037169953335,21.8265686141394,26.0866039011978,27.0645136686919,18.4527652433732,13.8531696801574,9.26834256578159,12.6809539478612,NA,NA,NA
2022-05-09 15:40:00,NA,13.5,10.78,10.20999,9.420013,9.179993,9.059998,8.380005,8.670013,8.859985,NA,NA,NA,NA,12.4038757671439,20.6079611646915,21.818580124321,26.074619252237,27.0578492171031,18.4527652433732,13.8531696801574,9.25242300862076,12.6846186699361,NA,NA,NA
2022-05-09 15:50:00,NA,13.63,10.78,10.10001,9.390015,9.179993,8.940002,8.279999,8.540009,8.890015,NA,NA,NA,NA,12.3797423834693,20.6122135731158,21.8465546016722,26.080615664334,27.0578492171031,18.4762389746667,13.8720880864423,9.27471432595017,12.6809539478612,NA,NA,NA
2022-05-09 16:00:00,NA,13.69,10.81,10.20001,9.369995,9.179993,9.079987,8.380005,8.600006,8.859985,NA,NA,NA,NA,12.3728548729364,20.6122135731158,21.8305671553341,26.0866039011978,27.0511851049757,18.443388387299,13.8531696801574,9.26197144843189,12.6846186699361,NA,NA,NA
2022-05-09 16:10:00,NA,13.67999,10.98999,10.13,9.369995,9.130005,8.98999,8.309998,8.600006,8.859985,NA,NA,NA,NA,12.3762985486095,20.5739803004493,21.8425554835222,26.080615664334,27.0645136686919,18.462150899595,13.8682995467721,9.26197144843189,12.6846186699361,NA,NA,NA
2022-05-09 16:20:00,NA,13.73001,10.98999,10.22,9.399994,9.179993,9.059998,8.410004,8.549988,8.859985,NA,NA,NA,NA,12.369411356463,20.5739803004493,21.8305671553341,26.074619252237,27.037857899231,18.443388387299,13.8456095681579,9.26834256578159,12.6809539478612,NA,NA,NA
2022-05-09 16:30:00,NA,13.85001,10.98999,10.29999,9.369995,9.179993,9.059998,8.309998,8.619995,8.910004,NA,NA,NA,NA,12.3522035186162,20.5782232794319,21.81458201587,26.080615664334,27.037857899231,18.4386963471472,13.8645186876812,9.25879316227306,12.6736102609844,NA,NA,NA
2022-05-09 16:40:00,NA,13.91,10.98999,10.35001,9.399994,9.179993,9.059998,8.429993,8.570007,8.890015,NA,NA,NA,NA,12.3453259106114,20.5824744953062,21.8065943907424,26.074619252237,27.0312033260399,18.4386963471472,13.8418222804007,9.26515692674842,12.6772820152949,NA,NA,NA
2022-05-09 16:50:00,NA,13.92999,11.04001,10.37,9.399994,9.200012,9,8.410004,8.649994,8.859985,NA,NA,NA,NA,12.338456293171,20.5782232794319,21.8026130318716,26.074619252237,27.0245490915682,18.4480806527161,13.8456095681579,9.24924520330036,12.6809539478612,NA,NA,NA
2022-05-09 17:00:00,NA,13.85999,11.12,10.41,9.450012,9.179993,9.029999,8.390015,8.549988,8.890015,NA,NA,NA,NA,12.3350143680474,20.5654867865632,21.7986155000557,26.0566739945934,27.0245490915682,18.443388387299,13.8456095681579,9.26515692674842,12.6809539478612,NA,NA,NA
2022-05-09 17:10:00,NA,13.82999,11.17001,10.42001,9.470001,9.179993,9.029999,8.339996,8.549988,8.890015,NA,NA,NA,NA,12.3281457032216,20.5527598898584,21.7986155000557,26.0566739945934,27.0245490915682,18.4386963471472,13.8531696801574,9.26515692674842,12.6809539478612,NA,NA,NA
2022-05-09 17:20:00,NA,13.70001,11.20001,10.44,9.470001,9.179993,9.059998,8.410004,8.700012,8.910004,NA,NA,NA,NA,12.3315799562969,20.5527598898584,21.7986155000557,26.0506871682255,27.0245490915682,18.4293287389393,13.8418222804007,9.24288304321577,12.6736102609844,NA,NA,NA
2022-05-09 17:30:00,NA,13.57999,11.20001,10.51999,9.470001,9.230011,9.029999,8.380005,8.619995,8.890015,NA,NA,NA,NA,12.3350143680474,20.5570020187942,21.7826594445395,26.0566739945934,27.0045799021563,18.4386963471472,13.8456095681579,9.25560800507072,12.6772820152949,NA,NA,NA
2022-05-09 17:40:00,NA,13.57999,11.20001,10.47,9.570007,9.230011,9.029999,8.390015,8.600006,8.859985,NA,NA,NA,NA,12.3178438961766,20.561252383069,21.7986155000557,26.0207910857589,27.0045799021563,18.4340124307695,13.8456095681579,9.25879316227306,12.6809539478612,NA,NA,NA
2022-05-09 17:50:00,NA,13.42001,11.23001,10.59,9.570007,9.179993,9.059998,8.359985,8.529999,8.890015,NA,NA,NA,NA,12.338456293171,20.561252383069,21.77866263366,26.0267680480427,27.0178866763518,18.4246452716764,13.8456095681579,9.26834256578159,12.6772820152949,NA,NA,NA
2022-05-09 18:00:00,NA,13.44,11.28,10.54999,9.600006,9.179993,8.980011,8.380005,8.619995,8.910004,NA,NA,NA,NA,12.3212776731485,20.5527598898584,21.7866482426624,26.0207910857589,27.0178866763518,18.443388387299,13.8418222804007,9.25242300862076,12.6736102609844,NA,NA,NA
2022-05-09 18:10:00,NA,13.39001,11.38,10.57001,9.579987,9.179993,8.970001,8.440002,8.529999,8.859985,NA,NA,NA,NA,12.3212776731485,20.5357930740668,21.7866482426624,26.0267680480427,27.011241638909,18.443388387299,13.8304914855041,9.26515692674842,12.6809539478612,NA,NA,NA
2022-05-09 18:20:00,NA,13.22,11.38,10.54999,9.579987,9.230011,9.059998,8.410004,8.529999,8.910004,NA,NA,NA,NA,12.338456293171,20.5357930740668,21.7946262704302,26.0327452918786,26.9979185051172,18.4199541316481,13.8380426708508,9.26515692674842,12.6736102609844,NA,NA,NA
2022-05-09 18:30:00,NA,13.22,11.41,10.62,9.579987,9.200012,8.959991,8.410004,8.619995,8.910004,NA,NA,NA,NA,12.3247116088345,20.5315598582765,21.7826594445395,26.0327452918786,27.0045799021563,18.443388387299,13.8342707384612,9.24924520330036,12.6736102609844,NA,NA,NA
2022-05-09 18:40:00,NA,13.16,11.38,10.62,9.579987,9.279999,9.049988,8.410004,8.619995,8.910004,NA,NA,NA,NA,12.3178438961766,20.5400345229967,21.7826594445395,26.0327452918786,26.9846222822813,18.4199541316481,13.8342707384612,9.25242300862076,12.6736102609844,NA,NA,NA
